City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,holly springs,35.6513,-78.8336,22.86,82,40,2.74,US,1722229157
179,kidal,18.4411,1.4078,29.2,49,95,3.71,ML,1722229188
180,badger,64.8,-147.5333,17.21,74,91,1.2,US,1722228654
181,juan de ayolas,-27.4,-56.9,15.58,95,92,5.33,PY,1722229191
182,midvagur,62.0511,-7.1939,11.46,100,100,9.77,FO,1722229192
183,ketchikan,55.3422,-131.6461,15.99,97,99,1.41,US,1722229193
184,bartica,6.4,-58.6167,24.18,99,89,0.7,GY,1722229195
185,acarau,-2.8856,-40.12,23.13,91,5,4.23,BR,1722229197
186,cabo san lucas,22.8909,-109.9124,29.54,73,61,5.91,MX,1722229198
187,enewetak,11.3474,162.3373,27.94,75,82,1.51,MH,1722228639
188,sattahip,12.6664,100.9007,29.05,94,75,5.14,TH,1722228984
189,okulovka,58.4008,33.2908,16.54,87,100,2.86,RU,1722229201
190,dazhou,31.2159,107.5009,29.12,70,98,2.38,CN,1722229202
191,arboletes,8.8505,-76.4269,26.95,90,85,2.7,CO,1722229204
192,port saint john's,-31.6229,29.5448,14.23,36,0,7.25,ZA,1722229205
193,punta arenas,-53.15,-70.9167,1.06,86,75,4.63,CL,1722228732
194,palmer,42.1584,-72.3287,20.51,78,100,2.08,US,1722229207
195,verkhniye kigi,55.4083,58.6044,11.96,93,100,5.33,RU,1722229210
196,san antonio de pale,-1.4014,5.6325,22.61,75,97,5.47,GQ,1722229211
197,miramar beach,30.3744,-86.3586,28.04,87,3,3.07,US,1722229212
198,fortuna,40.5982,-124.1573,14.96,91,100,2.57,US,1722229213
199,yabelo,4.8833,38.0833,16.46,72,100,0.67,ET,1722229214
200,la ronge,55.1001,-105.2842,18.14,77,75,1.54,CA,1722229216
201,fenoarivo atsinanana,-17.3667,49.4167,19.82,78,9,1.85,MG,1722229217
202,aur,8.1499,171.1687,25.16,92,100,6.67,MH,1722229219
203,merizo village,13.2658,144.6691,31.66,82,100,3.86,GU,1722229220
204,kulachi,31.9286,70.4592,42.11,29,0,3.3,PK,1722229222
205,gizo,-8.103,156.8419,26.75,81,100,2.52,SB,1722229223
206,zhaotong,27.3167,103.7167,23.41,74,100,3.21,CN,1722229224
207,anadyr,64.75,177.4833,15.28,44,20,6.0,RU,1722229225
208,kyzylorda,44.8528,65.5092,28.01,24,0,5.0,KZ,1722229226
209,el colomo,19.05,-104.25,25.97,84,1,0.85,MX,1722229227
210,vorkuta,67.5,64.0,20.72,65,77,5.02,RU,1722229229
211,taltal,-25.4,-70.4833,14.24,75,22,0.31,CL,1722229230
212,haiku-pauwela,20.9219,-156.3051,25.68,71,20,10.8,US,1722229231
213,chamical,-30.36,-66.314,12.04,42,100,1.0,AR,1722229201
214,kuta,-8.7233,115.1723,28.97,79,40,6.17,ID,1722229046
215,carboneras,37.0015,-1.9213,27.4,63,34,4.44,ES,1722229237
216,harper,4.375,-7.7169,24.25,86,100,6.26,LR,1722229238
217,hammerfest,70.6634,23.6821,11.25,100,75,2.06,NO,1722229239
218,tralee,52.2704,-9.7026,12.57,90,98,1.81,IE,1722229240
219,acapulco de juarez,16.8634,-99.8901,25.05,83,87,1.27,MX,1722229242
220,xining,36.6167,101.7667,24.33,50,27,1.22,CN,1722229243
221,bardai,11.65,7.2333,20.12,96,100,4.45,NG,1722229244
222,marsh harbour,26.5412,-77.0636,28.17,75,70,1.8,BS,1722229224
223,touros,-5.1989,-35.4608,23.3,91,33,5.04,BR,1722229246
224,newman,37.3138,-121.0208,26.13,55,0,3.31,US,1722228689
225,portland,45.5234,-122.6762,20.99,71,44,0.89,US,1722228900
226,papao,-17.75,-149.55,26.82,81,3,9.76,PF,1722228719
227,paraiso,9.8383,-83.8656,20.48,98,100,2.41,CR,1722229251
228,turpan,42.9333,89.1667,43.89,11,40,2.19,CN,1722229253
229,al hazm,16.1641,44.7769,31.28,35,100,7.87,YE,1722229255
230,guapi,2.5708,-77.8854,25.32,93,71,0.7,CO,1722229256
231,margate,51.3813,1.3862,16.5,88,16,3.62,GB,1722229257
232,murzuq,25.9155,13.9184,26.44,24,11,3.93,LY,1722229258
233,selfoss,63.9331,-20.9971,11.3,99,100,5.88,IS,1722229259
234,bambari,5.768,20.6757,21.75,95,99,1.18,CF,1722229261
235,mount pleasant,32.7941,-79.8626,22.78,88,0,0.0,US,1722228986
236,anonang,11.0,124.0333,31.53,60,59,0.79,PH,1722229263
237,gadzhiyevo,69.2551,33.3362,10.52,82,98,5.28,RU,1722228710
238,hermanus,-34.4187,19.2345,8.78,75,66,5.54,ZA,1722229265
239,nemuro,43.3236,145.575,15.79,99,100,7.47,JP,1722229266
240,khash,28.2211,61.2158,33.36,28,69,1.16,IR,1722229268
241,nikolayevsk-on-amure,53.1406,140.73,14.02,79,100,3.43,RU,1722229269
242,ushuaia,-54.8,-68.3,0.81,60,75,2.06,AR,1722229159
243,mar del plata,-38.0023,-57.5575,4.41,72,0,4.47,AR,1722229207
244,daru,-9.0763,143.2092,26.13,75,50,6.33,PG,1722229272
245,khandyga,62.6667,135.6,22.88,40,88,3.51,RU,1722229273
246,robertsport,6.7533,-11.3686,24.97,86,100,6.79,LR,1722229275
247,coquimbo,-29.9533,-71.3436,9.85,100,20,2.57,CL,1722228702
248,kruisfontein,-34.0033,24.7314,8.27,60,87,5.84,ZA,1722229277
249,praia,14.9215,-23.5087,24.3,78,40,4.63,CV,1722229278
250,iskateley,67.6803,53.1512,19.26,66,99,5.01,RU,1722229279
251,tual,-5.6667,132.75,25.59,86,56,7.68,ID,1722229281
252,tazovsky,67.4667,78.7,20.45,53,3,5.57,RU,1722228722
253,woods creek,47.8787,-121.8985,17.73,82,45,0.27,US,1722229284
254,magong,23.5654,119.5863,28.57,76,100,5.11,TW,1722229285
255,igarka,67.4667,86.5833,25.72,49,24,6.14,RU,1722229288
256,mahina,-17.5065,-149.489,26.87,83,20,5.14,PF,1722229289
257,cidreira,-30.1811,-50.2056,14.68,97,100,8.73,BR,1722229290
258,pont rouge,48.8833,-72.0825,23.16,82,0,2.46,CA,1722229292
259,lompoc,34.6391,-120.4579,15.29,82,100,3.6,US,1722229293
260,novo aripuana,-5.1206,-60.3797,25.72,61,37,1.33,BR,1722229294
261,keflavik,64.0049,-22.5624,11.95,100,100,4.63,IS,1722229271
262,chui,-33.6971,-53.4616,7.1,72,38,4.18,UY,1722229296
263,novaya ladoga,60.1025,32.3019,17.93,80,100,3.7,RU,1722229298
264,fort bragg,35.139,-79.006,23.32,83,0,1.54,US,1722228699
265,ranau,5.9538,116.6641,27.47,75,48,0.61,MY,1722229301
266,peace river,56.2501,-117.286,19.17,82,75,2.06,CA,1722229302
267,eurajoki,61.2,21.7333,17.01,83,99,4.26,FI,1722229303
268,medicine hat,50.0501,-110.6683,19.24,52,0,2.57,CA,1722229094
269,port blair,11.6667,92.75,31.02,74,75,8.54,IN,1722229306
270,callao,-12.0667,-77.15,16.51,82,100,2.06,PE,1722229308
271,guercif,34.2257,-3.3536,23.68,77,66,0.28,MA,1722229309
272,carnarvon,-24.8667,113.6333,21.23,49,0,2.71,AU,1722229310
273,putten,52.25,5.6,15.51,94,55,0.45,NL,1722229312
274,gaspe,48.8334,-64.4819,19.95,94,0,0.0,CA,1722229313
275,santa terezinha,-29.9002,-50.0904,15.03,97,100,5.15,BR,1722229314
276,ginir,7.1333,40.7,18.02,72,91,3.89,ET,1722229315
277,serenje,-13.2325,30.2352,12.3,26,0,0.67,ZM,1722229316
278,st. john's,47.5649,-52.7093,18.77,90,20,12.35,CA,1722229217
279,tabas,33.5959,56.9244,37.88,13,0,2.22,IR,1722229319
280,kasongo,-4.45,26.6667,20.14,26,0,1.18,CD,1722229320
281,qamdo,31.1667,97.2333,14.6,42,84,2.7,CN,1722229321
282,geltendorf,48.1333,11.0333,13.83,97,0,0.51,DE,1722229322
283,aurora,39.7294,-104.8319,23.49,37,0,2.57,US,1722229307
284,rouissat,31.9243,5.3502,31.04,37,0,5.14,DZ,1722229325
285,arkhangel'sk,64.5401,40.5433,13.06,100,75,3.0,RU,1722229326
286,msowero,-6.5333,37.2,20.31,72,3,0.51,TZ,1722229327
287,broome,42.2506,-75.833,19.44,81,69,0.93,US,1722229328
288,mulayjah,27.271,48.4242,38.22,12,100,9.54,SA,1722229329
289,tangalle,6.024,80.7911,32.09,75,94,6.92,LK,1722229331
290,santa marta,11.2408,-74.199,29.03,70,20,3.09,CO,1722229332
291,ambodifotatra,-16.9833,49.85,20.51,80,0,3.28,MG,1722229333
292,micheweni,-4.9667,39.8333,24.98,80,51,3.85,TZ,1722229334
293,maues,-3.3836,-57.7186,24.23,63,56,1.16,BR,1722229335
294,sofifi,0.7349,127.576,29.8,66,14,2.39,ID,1722229336
295,pacific grove,36.6177,-121.9166,14.56,88,100,3.09,US,1722229338
296,happy valley-goose bay,53.3168,-60.3315,19.17,68,20,4.12,CA,1722229339
297,new norfolk,-42.7826,147.0587,9.72,43,3,0.31,AU,1722229340
